,0,1,2,3,4,5
1680,10.700009999999999,10.40001,10.00001,9.966676666666666,10.10001,9.766676666666667
1710,10.700009999999999,10.40001,10.00001,9.97501,10.10001,9.77501
1740,10.700009999999999,10.40001,10.00001,9.983343333333334,10.10001,9.783343333333335
1770,10.700009999999999,10.40001,10.00001,9.991676666666667,10.10001,9.791676666666667
1800,10.700009999999999,10.40001,10.00001,10.00001,10.10001,9.80001
1830,10.700009999999999,10.40001,10.00001,10.008343333333332,10.10001,9.808343333333333
1860,10.700009999999999,10.40001,10.00001,10.016676666666665,10.10001,9.816676666666666
1890,10.700009999999999,10.40001,10.00001,10.02501,10.10001,9.82501
1920,10.700009999999999,10.40001,10.00001,10.033343333333333,10.10001,9.833343333333334
1950,10.700009999999999,10.40001,10.00001,10.041676666666666,10.10001,9.841676666666666
1980,10.700009999999999,10.40001,10.00001,10.05001,10.10001,9.850010000000001
2010,10.700009999999999,10.40001,10.00001,10.058343333333333,10.10001,9.858343333333334
2040,10.700009999999999,10.40001,10.00001,10.066676666666666,10.10001,9.866676666666667
2070,10.700009999999999,10.40001,10.00001,10.075009999999999,10.10001,9.87501
2100,10.700009999999999,10.40001,10.00001,10.083343333333334,10.10001,9.883343333333334
2130,10.700009999999999,10.40001,10.00001,10.091676666666666,10.10001,9.891676666666667
2160,10.700009999999999,10.40001,10.00001,10.10001,10.10001,9.90001
2190,10.700009999999999,10.40001,10.00001,10.108343333333334,10.10001,9.908343333333335
2220,10.700009999999999,10.40001,10.00001,10.116676666666667,10.10001,9.916676666666667
2250,10.700009999999999,10.40001,10.00001,10.12501,10.10001,9.92501
2280,10.700009999999999,10.40001,10.00001,10.133343333333332,10.10001,9.933343333333333
2310,10.700009999999999,10.40001,10.00001,10.141676666666665,10.10001,9.941676666666666
2340,10.700009999999999,10.40001,10.00001,10.15001,10.10001,9.95001
2370,10.700009999999999,10.40001,10.00001,10.158343333333333,10.10001,9.958343333333334
2400,10.700009999999999,10.40001,10.00001,10.166676666666666,10.10001,9.966676666666666
2430,10.700009999999999,10.40001,10.00001,10.17501,10.10001,9.975010000000001
2460,10.700009999999999,10.40001,10.00001,10.183343333333333,10.10001,9.983343333333334
2490,10.700009999999999,10.40001,10.00001,10.191676666666666,10.10001,9.991676666666667
2520,10.700009999999999,10.40001,10.00001,10.200009999999999,10.10001,10.00001
2550,10.700009999999999,10.40001,10.00001,10.208343333333334,10.10001,10.008343333333334
2580,10.700009999999999,10.40001,10.00001,10.216676666666666,10.10001,10.016676666666667
2610,10.700009999999999,10.40001,10.00001,10.22501,10.10001,10.02501
2640,10.700009999999999,10.40001,10.00001,10.233343333333334,10.10001,10.033343333333335
2670,10.700009999999999,10.40001,10.00001,10.241676666666667,10.10001,10.041676666666667
2700,10.700009999999999,10.40001,10.00001,10.25001,10.10001,10.05001
2730,10.700009999999999,10.40001,10.00001,10.258343333333332,10.10001,10.058343333333333
2760,10.700009999999999,10.40001,10.00001,10.266676666666665,10.10001,10.066676666666666
2790,10.700009999999999,10.40001,10.00001,10.27501,10.10001,10.07501
2820,10.700009999999999,10.40001,10.00001,10.283343333333333,10.10001,10.083343333333334
2850,10.700009999999999,10.40001,10.00001,10.291676666666666,10.10001,10.091676666666666
2880,10.700009999999999,10.40001,10.00001,10.30001,10.10001,10.100010000000001
2910,10.700009999999999,10.40001,10.00001,10.308343333333333,10.10001,10.108343333333334
2940,10.700009999999999,10.40001,10.00001,10.316676666666666,10.10001,10.116676666666667
2970,10.700009999999999,10.40001,10.00001,10.325009999999999,10.10001,10.12501
3000,10.700009999999999,10.40001,10.00001,10.333343333333334,10.10001,10.133343333333334
3030,10.700009999999999,10.40001,10.00001,10.341676666666666,10.10001,10.141676666666667
3060,10.700009999999999,10.40001,10.00001,10.35001,10.10001,10.15001
3090,10.700009999999999,10.40001,10.00001,10.358343333333334,10.10001,10.158343333333335
3120,10.700009999999999,10.40001,10.00001,10.366676666666667,10.10001,10.166676666666667
